condition,doc_id,edit_ratio,char_delta
c4_doc_local_anon,P0009_D02,0.27391874180865006,-51
c5_linkguard,P0009_D02,0.584313725490196,-49
c6_aggressive_redaction,P0009_D02,0.7282608695652174,-78
c1b_presidio_redaction,P0009_D02,0.32173913043478264,-9
c1_direct_redaction,P0009_D03,0.28913963328631875,-51
c2_consistent_pseudonym,P0009_D03,0.28077455048409405,-37
c3_per_doc_pseudonym,P0009_D03,0.3315143246930423,-27
c4_doc_local_anon,P0009_D03,0.28913963328631875,-51
c5_linkguard,P0009_D03,0.3854748603351955,-44
c6_aggressive_redaction,P0009_D03,0.45507246376811594,-70
c1b_presidio_redaction,P0009_D03,0.3342210386151797,-9
c1_direct_redaction,P0009_D04,0.24852767962308597,-51
c2_consistent_pseudonym,P0009_D04,0.23059096176129779,-37
c3_per_doc_pseudonym,P0009_D04,0.27605956471935855,-27
c4_doc_local_anon,P0009_D04,0.24852767962308597,-51
c5_linkguard,P0009_D04,0.690504103165299,-47
c6_aggressive_redaction,P0009_D04,0.47155499367888754,-109
c1b_presidio_redaction,P0009_D04,0.27048260381593714,-9
c1_direct_redaction,P0010_D01,0.2462077012835473,-55
c2_consistent_pseudonym,P0010_D01,0.25257142857142856,-37
c3_per_doc_pseudonym,P0010_D01,0.23389830508474574,-27
c4_doc_local_anon,P0010_D01,0.271689497716895,-36
c5_linkguard,P0010_D01,0.6443361753958587,-91
c6_aggressive_redaction,P0010_D01,0.6979695431472082,-124
c1b_presidio_redaction,P0010_D01,0.2994594594594595,13
c1_direct_redaction,P0010_D02,0.2520908004778972,-55
c2_consistent_pseudonym,P0010_D02,0.28776978417266186,-58
c3_per_doc_pseudonym,P0010_D02,0.2962085308056872,-48
c4_doc_local_anon,P0010_D02,0.2520908004778972,-55
c5_linkguard,P0010_D02,0.5533980582524272,-68
c6_aggressive_redaction,P0010_D02,0.534640522875817,-127
c1b_presidio_redaction,P0010_D02,0.28268156424581004,3
c1_direct_redaction,P0010_D03,0.26947637292464877,-55
c2_consistent_pseudonym,P0010_D03,0.2759051186017478,-37
c3_per_doc_pseudonym,P0010_D03,0.311960542540074,-27
c4_doc_local_anon,P0010_D03,0.29675810473815456,-36
c5_linkguard,P0010_D03,0.48631029986962193,-71
c6_aggressive_redaction,P0010_D03,0.75,-86
c1b_presidio_redaction,P0010_D03,0.3301997649823737,13
c1_direct_redaction,P0010_D04,0.24280782508630605,-55
c2_consistent_pseudonym,P0010_D04,0.19168591224018472,-58
c3_per_doc_pseudonym,P0010_D04,0.2100456621004566,-48
c4_doc_local_anon,P0010_D04,0.24280782508630605,-55
c5_linkguard,P0010_D04,0.5171597633136095,-79
c6_aggressive_redaction,P0010_D04,0.538659793814433,-148
c1b_presidio_redaction,P0010_D04,0.26860841423948223,3
c1_direct_redaction,P0011_D01,0.2727272727272727,-56
c2_consistent_pseudonym,P0011_D01,0.27735368956743,-40
c3_per_doc_pseudonym,P0011_D01,0.2864321608040201,-30
c4_doc_local_anon,P0011_D01,0.3198482932996207,-35
c5_linkguard,P0011_D01,0.6422136422136422,-49
c6_aggressive_redaction,P0011_D01,0.7597765363128491,-110
c1b_presidio_redaction,P0011_D01,0.3389423076923077,6
c1_direct_redaction,P0011_D02,0.25119617224880386,-56
c2_consistent_pseudonym,P0011_D02,0.6009501187648456,-50
c3_per_doc_pseudonym,P0011_D02,0.6009389671361502,-40
c4_doc_local_anon,P0011_D02,0.25119617224880386,-56
c5_linkguard,P0011_D02,0.6590330788804071,-106
c6_aggressive_redaction,P0011_D02,0.8203753351206434,-146
c1b_presidio_redaction,P0011_D02,0.2768361581920904,-7
c1_direct_redaction,P0011_D03,0.2876344086021505,-56
