condition,condition_label,persona_id,risk_tier,top_k,retrieval_hit_at_k,target_docs_at_k,top_doc_persona,top_doc_is_target,exact_field_recovery,coarse_field_recovery,exact_fields_recovered,coarse_fields_recovered
c1_direct_redaction,C1 direct redaction,P0002,T3,5,1,3,P0002,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0003,T1,5,0,0,P0032,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0004,T2,5,0,0,P0050,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0006,T1,5,0,0,P0026,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0007,T2,5,0,0,P0089,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0008,T3,5,1,2,P0008,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0009,T1,5,0,0,P0104,0,0.36363636363636365,0.36363636363636365,4.0,4.0
c1_direct_redaction,C1 direct redaction,P0011,T3,5,1,2,P0011,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0012,T1,5,0,0,P0020,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0013,T2,5,0,0,P0107,0,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0014,T3,5,1,4,P0014,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0016,T2,5,0,0,P0053,0,0.6363636363636364,0.6363636363636364,7.0,7.0
c1_direct_redaction,C1 direct redaction,P0017,T3,5,1,3,P0017,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0018,T1,5,0,0,P0059,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0019,T2,5,0,0,P0110,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0021,T1,5,0,0,P0029,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0022,T2,5,0,0,P0113,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0023,T3,5,1,4,P0023,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0024,T1,5,0,0,P0065,0,0.45454545454545453,0.45454545454545453,5.0,5.0
c1_direct_redaction,C1 direct redaction,P0026,T3,5,1,4,P0026,1,1.0,1.0,11.0,11.0
c1_direct_redaction,C1 direct redaction,P0027,T1,5,0,0,P0116,0,0.5454545454545454,0.5454545454545454,6.0,6.0
c1_direct_redaction,C1 direct redaction,P0028,T2,5,0,0,P0101,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0029,T3,5,1,2,P0029,1,0.7272727272727273,0.7272727272727273,8.0,8.0
c1_direct_redaction,C1 direct redaction,P0031,T2,5,0,0,P0047,0,0.2727272727272727,0.2727272727272727,3.0,3.0
c1_direct_redaction,C1 direct redaction,P0032,T3,5,1,3,P0032,1,0.9090909090909091,0.9090909090909091,10.0,10.0
c1_direct_redaction,C1 direct redaction,P0033,T1,5,0,0,P0056,0,0.2727272727272727,0.2727272727272727,3.0,3.0
