condition,persona_id,risk_tier,top1_doc_hit,hit_at_5,hit_at_10,multi_doc_at_10,target_docs_at_10,target_doc_recall_at_10,first_target_rank,mrr,top_doc_persona
original,P0118,T2,0,0,0,0,0,0.0,39,0.02564102564102564,P0095
original,P0119,T3,1,1,1,1,4,1.0,1,1.0,P0119
c1_direct_redaction,P0001,T2,0,0,0,0,0,0.0,62,0.016129032258064516,P0008
c1_direct_redaction,P0002,T3,1,1,1,1,4,1.0,1,1.0,P0002
c1_direct_redaction,P0003,T1,0,0,0,0,0,0.0,76,0.013157894736842105,P0032
c1_direct_redaction,P0004,T2,0,0,0,0,0,0.0,13,0.07692307692307693,P0050
c1_direct_redaction,P0006,T1,0,0,0,0,0,0.0,58,0.017241379310344827,P0026
c1_direct_redaction,P0007,T2,0,0,0,0,0,0.0,35,0.02857142857142857,P0089
c1_direct_redaction,P0008,T3,1,1,1,1,4,1.0,1,1.0,P0008
c1_direct_redaction,P0009,T1,0,0,0,0,0,0.0,81,0.012345679012345678,P0104
c1_direct_redaction,P0011,T3,1,1,1,1,3,0.75,1,1.0,P0011
c1_direct_redaction,P0012,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0020
c1_direct_redaction,P0013,T2,0,0,0,0,0,0.0,23,0.043478260869565216,P0107
c1_direct_redaction,P0014,T3,1,1,1,1,4,1.0,1,1.0,P0014
c1_direct_redaction,P0016,T2,0,0,1,0,1,0.25,9,0.1111111111111111,P0053
c1_direct_redaction,P0017,T3,1,1,1,1,4,1.0,1,1.0,P0017
c1_direct_redaction,P0018,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0059
c1_direct_redaction,P0019,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0110
c1_direct_redaction,P0021,T1,0,0,0,0,0,0.0,48,0.020833333333333332,P0029
c1_direct_redaction,P0022,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0113
c1_direct_redaction,P0023,T3,1,1,1,1,4,1.0,1,1.0,P0023
c1_direct_redaction,P0024,T1,0,0,0,0,0,0.0,43,0.023255813953488372,P0065
c1_direct_redaction,P0026,T3,1,1,1,1,4,1.0,1,1.0,P0026
c1_direct_redaction,P0027,T1,0,0,0,0,0,0.0,58,0.017241379310344827,P0116
c1_direct_redaction,P0028,T2,0,0,0,0,0,0.0,45,0.022222222222222223,P0101
c1_direct_redaction,P0029,T3,1,1,1,1,4,1.0,1,1.0,P0029
c1_direct_redaction,P0031,T2,0,0,0,0,0,0.0,37,0.02702702702702703,P0047
c1_direct_redaction,P0032,T3,1,1,1,1,3,0.75,1,1.0,P0032
c1_direct_redaction,P0033,T1,0,0,0,0,0,0.0,77,0.012987012987012988,P0056
c1_direct_redaction,P0034,T2,0,0,0,0,0,0.0,20,0.05,P0113
c1_direct_redaction,P0036,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0083
c1_direct_redaction,P0037,T2,0,0,0,0,0,0.0,23,0.043478260869565216,P0014
c1_direct_redaction,P0038,T3,1,1,1,1,4,1.0,1,1.0,P0038
c1_direct_redaction,P0039,T1,0,0,0,0,0,0.0,43,0.023255813953488372,P0101
c1_direct_redaction,P0041,T3,1,1,1,1,4,1.0,1,1.0,P0041
c1_direct_redaction,P0042,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0020
c1_direct_redaction,P0043,T2,0,0,0,0,0,0.0,26,0.038461538461538464,P0074
c1_direct_redaction,P0044,T3,1,1,1,1,3,0.75,1,1.0,P0044
c1_direct_redaction,P0046,T2,0,0,0,0,0,0.0,29,0.034482758620689655,P0059
c1_direct_redaction,P0047,T3,1,1,1,1,3,0.75,1,1.0,P0047
c1_direct_redaction,P0048,T1,0,0,0,0,0,0.0,37,0.02702702702702703,P0077
c1_direct_redaction,P0049,T2,0,0,0,0,0,0.0,24,0.041666666666666664,P0092
c1_direct_redaction,P0051,T1,0,0,0,0,0,0.0,85,0.011764705882352941,P0011
c1_direct_redaction,P0052,T2,0,0,0,0,0,0.0,33,0.030303030303030304,P0107
c1_direct_redaction,P0053,T3,1,1,1,1,4,1.0,1,1.0,P0053
c1_direct_redaction,P0054,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0014
c1_direct_redaction,P0056,T3,1,1,1,1,3,0.75,1,1.0,P0056
c1_direct_redaction,P0057,T1,0,0,0,0,0,0.0,47,0.02127659574468085,P0101
c1_direct_redaction,P0058,T2,0,0,0,0,0,0.0,24,0.041666666666666664,P0065
c1_direct_redaction,P0059,T3,1,1,1,1,4,1.0,1,1.0,P0059
c1_direct_redaction,P0061,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0053
c1_direct_redaction,P0062,T3,1,1,1,1,4,1.0,1,1.0,P0062
c1_direct_redaction,P0063,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0092
c1_direct_redaction,P0064,T2,0,0,0,0,0,0.0,26,0.038461538461538464,P0026
c1_direct_redaction,P0066,T1,0,0,0,0,0,0.0,76,0.013157894736842105,P0026
c1_direct_redaction,P0067,T2,0,0,0,0,0,0.0,16,0.0625,P0026
c1_direct_redaction,P0068,T3,1,1,1,1,3,0.75,1,1.0,P0068
c1_direct_redaction,P0069,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0017
c1_direct_redaction,P0071,T3,1,1,1,1,4,1.0,1,1.0,P0071
c1_direct_redaction,P0072,T1,0,0,0,0,0,0.0,71,0.014084507042253521,P0053
c1_direct_redaction,P0073,T2,0,0,0,0,0,0.0,21,0.047619047619047616,P0062
c1_direct_redaction,P0074,T3,1,1,1,1,4,1.0,1,1.0,P0074
c1_direct_redaction,P0076,T2,0,0,0,0,0,0.0,29,0.034482758620689655,P0035
c1_direct_redaction,P0077,T3,1,1,1,1,4,1.0,1,1.0,P0077
c1_direct_redaction,P0078,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0026
c1_direct_redaction,P0079,T2,0,0,0,0,0,0.0,28,0.03571428571428571,P0089
c1_direct_redaction,P0081,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0053
c1_direct_redaction,P0082,T2,0,0,0,0,0,0.0,13,0.07692307692307693,P0017
c1_direct_redaction,P0083,T3,1,1,1,1,4,1.0,1,1.0,P0083
c1_direct_redaction,P0084,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0044
c1_direct_redaction,P0086,T3,1,1,1,1,4,1.0,1,1.0,P0086
c1_direct_redaction,P0087,T1,0,0,0,0,0,0.0,71,0.014084507042253521,P0074
c1_direct_redaction,P0088,T2,0,0,0,0,0,0.0,20,0.05,P0044
c1_direct_redaction,P0089,T3,1,1,1,1,4,1.0,1,1.0,P0089
c1_direct_redaction,P0091,T2,0,0,0,0,0,0.0,28,0.03571428571428571,P0011
c1_direct_redaction,P0092,T3,1,1,1,1,4,1.0,1,1.0,P0092
c1_direct_redaction,P0093,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0044
c1_direct_redaction,P0094,T2,0,0,0,0,0,0.0,31,0.03225806451612903,P0065
c1_direct_redaction,P0096,T1,0,0,0,0,0,0.0,69,0.014492753623188406,P0026
c1_direct_redaction,P0097,T2,0,0,0,0,0,0.0,51,0.0196078431372549,P0119
c1_direct_redaction,P0098,T3,1,1,1,1,4,1.0,1,1.0,P0098
c1_direct_redaction,P0099,T1,0,0,0,0,0,0.0,49,0.02040816326530612,P0017
c1_direct_redaction,P0101,T3,1,1,1,1,4,1.0,1,1.0,P0101
c1_direct_redaction,P0102,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0110
c1_direct_redaction,P0103,T2,0,0,0,0,0,0.0,39,0.02564102564102564,P0038
c1_direct_redaction,P0104,T3,1,1,1,1,4,1.0,1,1.0,P0104
c1_direct_redaction,P0106,T2,0,0,0,0,0,0.0,12,0.08333333333333333,P0098
c1_direct_redaction,P0107,T3,1,1,1,1,4,1.0,1,1.0,P0107
c1_direct_redaction,P0108,T1,0,0,0,0,0,0.0,74,0.013513513513513514,P0014
c1_direct_redaction,P0109,T2,0,0,0,0,0,0.0,34,0.029411764705882353,P0119
c1_direct_redaction,P0111,T1,0,0,0,0,0,0.0,39,0.02564102564102564,P0116
c1_direct_redaction,P0112,T2,0,0,0,0,0,0.0,15,0.06666666666666667,P0086
c1_direct_redaction,P0113,T3,1,1,1,1,4,1.0,1,1.0,P0113
c1_direct_redaction,P0114,T1,0,0,0,0,0,0.0,58,0.017241379310344827,P0104
c1_direct_redaction,P0116,T3,1,1,1,1,4,1.0,1,1.0,P0116
c1_direct_redaction,P0117,T1,0,0,0,0,0,0.0,43,0.023255813953488372,P0005
c1_direct_redaction,P0118,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0095
c1_direct_redaction,P0119,T3,1,1,1,1,4,1.0,1,1.0,P0119
c1b_presidio_redaction,P0001,T2,0,0,0,0,0,0.0,60,0.016666666666666666,P0008
c1b_presidio_redaction,P0002,T3,1,1,1,1,4,1.0,1,1.0,P0002
c1b_presidio_redaction,P0003,T1,0,0,0,0,0,0.0,85,0.011764705882352941,P0032
c1b_presidio_redaction,P0004,T2,0,0,0,0,0,0.0,13,0.07692307692307693,P0050
c1b_presidio_redaction,P0006,T1,0,0,0,0,0,0.0,55,0.01818181818181818,P0026
c1b_presidio_redaction,P0007,T2,0,0,0,0,0,0.0,35,0.02857142857142857,P0089
c1b_presidio_redaction,P0008,T3,1,1,1,1,4,1.0,1,1.0,P0008
c1b_presidio_redaction,P0009,T1,0,0,0,0,0,0.0,81,0.012345679012345678,P0104
c1b_presidio_redaction,P0011,T3,1,1,1,1,3,0.75,1,1.0,P0011
c1b_presidio_redaction,P0012,T1,0,0,0,0,0,0.0,66,0.015151515151515152,P0020
c1b_presidio_redaction,P0013,T2,0,0,0,0,0,0.0,19,0.05263157894736842,P0107
c1b_presidio_redaction,P0014,T3,1,1,1,1,4,1.0,1,1.0,P0014
c1b_presidio_redaction,P0016,T2,0,0,1,0,1,0.25,7,0.14285714285714285,P0053
c1b_presidio_redaction,P0017,T3,1,1,1,1,4,1.0,1,1.0,P0017
c1b_presidio_redaction,P0018,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0059
c1b_presidio_redaction,P0019,T2,0,0,0,0,0,0.0,15,0.06666666666666667,P0110
c1b_presidio_redaction,P0021,T1,0,0,0,0,0,0.0,46,0.021739130434782608,P0029
c1b_presidio_redaction,P0022,T2,0,0,0,0,0,0.0,15,0.06666666666666667,P0113
c1b_presidio_redaction,P0023,T3,1,1,1,1,4,1.0,1,1.0,P0023
c1b_presidio_redaction,P0024,T1,0,0,0,0,0,0.0,60,0.016666666666666666,P0065
c1b_presidio_redaction,P0026,T3,1,1,1,1,4,1.0,1,1.0,P0026
c1b_presidio_redaction,P0027,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0116
c1b_presidio_redaction,P0028,T2,0,0,0,0,0,0.0,45,0.022222222222222223,P0101
c1b_presidio_redaction,P0029,T3,1,1,1,1,4,1.0,1,1.0,P0029
c1b_presidio_redaction,P0031,T2,0,0,0,0,0,0.0,44,0.022727272727272728,P0047
c1b_presidio_redaction,P0032,T3,1,1,1,1,3,0.75,1,1.0,P0032
c1b_presidio_redaction,P0033,T1,0,0,0,0,0,0.0,75,0.013333333333333334,P0056
c1b_presidio_redaction,P0034,T2,0,0,0,0,0,0.0,17,0.058823529411764705,P0065
c1b_presidio_redaction,P0036,T1,0,0,0,0,0,0.0,84,0.011904761904761904,P0083
c1b_presidio_redaction,P0037,T2,0,0,0,0,0,0.0,16,0.0625,P0014
c1b_presidio_redaction,P0038,T3,1,1,1,1,4,1.0,1,1.0,P0038
c1b_presidio_redaction,P0039,T1,0,0,0,0,0,0.0,55,0.01818181818181818,P0101
c1b_presidio_redaction,P0041,T3,1,1,1,1,4,1.0,1,1.0,P0041
c1b_presidio_redaction,P0042,T1,0,0,0,0,0,0.0,62,0.016129032258064516,P0020
c1b_presidio_redaction,P0043,T2,0,0,0,0,0,0.0,23,0.043478260869565216,P0074
c1b_presidio_redaction,P0044,T3,1,1,1,1,3,0.75,1,1.0,P0044
c1b_presidio_redaction,P0046,T2,0,0,0,0,0,0.0,29,0.034482758620689655,P0059
c1b_presidio_redaction,P0047,T3,1,1,1,1,2,0.5,1,1.0,P0047
c1b_presidio_redaction,P0048,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0077
c1b_presidio_redaction,P0049,T2,0,0,0,0,0,0.0,25,0.04,P0092
c1b_presidio_redaction,P0051,T1,0,0,0,0,0,0.0,108,0.009259259259259259,P0011
c1b_presidio_redaction,P0052,T2,0,0,0,0,0,0.0,36,0.027777777777777776,P0107
c1b_presidio_redaction,P0053,T3,1,1,1,1,4,1.0,1,1.0,P0053
c1b_presidio_redaction,P0054,T1,0,0,0,0,0,0.0,59,0.01694915254237288,P0110
c1b_presidio_redaction,P0056,T3,1,1,1,1,4,1.0,1,1.0,P0056
c1b_presidio_redaction,P0057,T1,0,0,0,0,0,0.0,47,0.02127659574468085,P0101
c1b_presidio_redaction,P0058,T2,0,0,0,0,0,0.0,32,0.03125,P0065
c1b_presidio_redaction,P0059,T3,1,1,1,1,4,1.0,1,1.0,P0059
c1b_presidio_redaction,P0061,T2,0,0,0,0,0,0.0,17,0.058823529411764705,P0053
c1b_presidio_redaction,P0062,T3,1,1,1,1,3,0.75,1,1.0,P0062
c1b_presidio_redaction,P0063,T1,0,0,0,0,0,0.0,100,0.01,P0092
c1b_presidio_redaction,P0064,T2,0,0,0,0,0,0.0,36,0.027777777777777776,P0026
c1b_presidio_redaction,P0066,T1,0,0,0,0,0,0.0,76,0.013157894736842105,P0026
c1b_presidio_redaction,P0067,T2,0,0,0,0,0,0.0,21,0.047619047619047616,P0026
c1b_presidio_redaction,P0068,T3,1,1,1,1,3,0.75,1,1.0,P0068
c1b_presidio_redaction,P0069,T1,0,0,0,0,0,0.0,96,0.010416666666666666,P0017
c1b_presidio_redaction,P0071,T3,1,1,1,1,4,1.0,1,1.0,P0071
c1b_presidio_redaction,P0072,T1,0,0,0,0,0,0.0,71,0.014084507042253521,P0053
c1b_presidio_redaction,P0073,T2,0,0,0,0,0,0.0,20,0.05,P0062
c1b_presidio_redaction,P0074,T3,1,1,1,1,4,1.0,1,1.0,P0074
c1b_presidio_redaction,P0076,T2,0,0,0,0,0,0.0,30,0.03333333333333333,P0035
c1b_presidio_redaction,P0077,T3,1,1,1,1,4,1.0,1,1.0,P0077
c1b_presidio_redaction,P0078,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0086
c1b_presidio_redaction,P0079,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0089
c1b_presidio_redaction,P0081,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0053
c1b_presidio_redaction,P0082,T2,0,0,0,0,0,0.0,13,0.07692307692307693,P0017
c1b_presidio_redaction,P0083,T3,1,1,1,1,4,1.0,1,1.0,P0083
c1b_presidio_redaction,P0084,T1,0,0,0,0,0,0.0,54,0.018518518518518517,P0011
c1b_presidio_redaction,P0086,T3,1,1,1,1,4,1.0,1,1.0,P0086
c1b_presidio_redaction,P0087,T1,0,0,0,0,0,0.0,76,0.013157894736842105,P0074
c1b_presidio_redaction,P0088,T2,0,0,0,0,0,0.0,26,0.038461538461538464,P0044
c1b_presidio_redaction,P0089,T3,1,1,1,1,4,1.0,1,1.0,P0089
c1b_presidio_redaction,P0091,T2,0,0,0,0,0,0.0,23,0.043478260869565216,P0011
c1b_presidio_redaction,P0092,T3,1,1,1,1,4,1.0,1,1.0,P0092
c1b_presidio_redaction,P0093,T1,0,0,0,0,0,0.0,56,0.017857142857142856,P0044
c1b_presidio_redaction,P0094,T2,0,0,0,0,0,0.0,39,0.02564102564102564,P0065
c1b_presidio_redaction,P0096,T1,0,0,0,0,0,0.0,67,0.014925373134328358,P0026
c1b_presidio_redaction,P0097,T2,0,0,0,0,0,0.0,55,0.01818181818181818,P0119
c1b_presidio_redaction,P0098,T3,1,1,1,1,4,1.0,1,1.0,P0098
c1b_presidio_redaction,P0099,T1,0,0,0,0,0,0.0,44,0.022727272727272728,P0017
c1b_presidio_redaction,P0101,T3,1,1,1,1,4,1.0,1,1.0,P0101
c1b_presidio_redaction,P0102,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0110
c1b_presidio_redaction,P0103,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0038
c1b_presidio_redaction,P0104,T3,1,1,1,1,4,1.0,1,1.0,P0104
c1b_presidio_redaction,P0106,T2,0,0,0,0,0,0.0,12,0.08333333333333333,P0098
c1b_presidio_redaction,P0107,T3,1,1,1,1,4,1.0,1,1.0,P0107
c1b_presidio_redaction,P0108,T1,0,0,0,0,0,0.0,81,0.012345679012345678,P0014
c1b_presidio_redaction,P0109,T2,0,0,0,0,0,0.0,68,0.014705882352941176,P0119
c1b_presidio_redaction,P0111,T1,0,0,0,0,0,0.0,55,0.01818181818181818,P0116
c1b_presidio_redaction,P0112,T2,0,0,0,0,0,0.0,24,0.041666666666666664,P0086
c1b_presidio_redaction,P0113,T3,1,1,1,1,4,1.0,1,1.0,P0113
c1b_presidio_redaction,P0114,T1,0,0,0,0,0,0.0,60,0.016666666666666666,P0104
c1b_presidio_redaction,P0116,T3,1,1,1,1,4,1.0,1,1.0,P0116
c1b_presidio_redaction,P0117,T1,0,0,0,0,0,0.0,40,0.025,P0005
c1b_presidio_redaction,P0118,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0095
c1b_presidio_redaction,P0119,T3,1,1,1,1,4,1.0,1,1.0,P0119
c2_consistent_pseudonym,P0001,T2,0,0,0,0,0,0.0,79,0.012658227848101266,P0008
c2_consistent_pseudonym,P0002,T3,1,1,1,1,4,1.0,1,1.0,P0002
c2_consistent_pseudonym,P0003,T1,0,0,0,0,0,0.0,65,0.015384615384615385,P0032
c2_consistent_pseudonym,P0004,T2,0,0,0,0,0,0.0,49,0.02040816326530612,P0056
c2_consistent_pseudonym,P0006,T1,0,0,0,0,0,0.0,51,0.0196078431372549,P0026
c2_consistent_pseudonym,P0007,T2,0,0,0,0,0,0.0,46,0.021739130434782608,P0089
c2_consistent_pseudonym,P0008,T3,1,1,1,1,3,0.75,1,1.0,P0008
c2_consistent_pseudonym,P0009,T1,0,0,0,0,0,0.0,77,0.012987012987012988,P0086
c2_consistent_pseudonym,P0011,T3,1,1,1,1,3,0.75,1,1.0,P0011
c2_consistent_pseudonym,P0012,T1,0,0,0,0,0,0.0,52,0.019230769230769232,P0020
c2_consistent_pseudonym,P0013,T2,0,0,0,0,0,0.0,41,0.024390243902439025,P0107
c2_consistent_pseudonym,P0014,T3,1,1,1,1,4,1.0,1,1.0,P0014
c2_consistent_pseudonym,P0016,T2,0,0,0,0,0,0.0,42,0.023809523809523808,P0053
c2_consistent_pseudonym,P0017,T3,1,1,1,1,4,1.0,1,1.0,P0017
c2_consistent_pseudonym,P0018,T1,0,0,0,0,0,0.0,53,0.018867924528301886,P0059
c2_consistent_pseudonym,P0019,T2,0,0,0,0,0,0.0,43,0.023255813953488372,P0110
c2_consistent_pseudonym,P0021,T1,0,0,0,0,0,0.0,49,0.02040816326530612,P0029
c2_consistent_pseudonym,P0022,T2,0,0,0,0,0,0.0,66,0.015151515151515152,P0107
c2_consistent_pseudonym,P0023,T3,1,1,1,1,4,1.0,1,1.0,P0023
c2_consistent_pseudonym,P0024,T1,0,0,0,0,0,0.0,46,0.021739130434782608,P0065
c2_consistent_pseudonym,P0026,T3,1,1,1,1,4,1.0,1,1.0,P0026
c2_consistent_pseudonym,P0027,T1,0,0,0,0,0,0.0,50,0.02,P0044
c2_consistent_pseudonym,P0028,T2,0,0,0,0,0,0.0,71,0.014084507042253521,P0101
c2_consistent_pseudonym,P0029,T3,1,1,1,1,3,0.75,1,1.0,P0029
c2_consistent_pseudonym,P0031,T2,0,0,0,0,0,0.0,59,0.01694915254237288,P0047
c2_consistent_pseudonym,P0032,T3,1,1,1,1,3,0.75,1,1.0,P0032
c2_consistent_pseudonym,P0033,T1,0,0,0,0,0,0.0,75,0.013333333333333334,P0056
c2_consistent_pseudonym,P0034,T2,0,0,0,0,0,0.0,54,0.018518518518518517,P0113
c2_consistent_pseudonym,P0036,T1,0,0,0,0,0,0.0,67,0.014925373134328358,P0083
c2_consistent_pseudonym,P0037,T2,0,0,0,0,0,0.0,29,0.034482758620689655,P0014
c2_consistent_pseudonym,P0038,T3,1,1,1,1,4,1.0,1,1.0,P0038
c2_consistent_pseudonym,P0039,T1,0,0,0,0,0,0.0,45,0.022222222222222223,P0101
c2_consistent_pseudonym,P0041,T3,1,1,1,1,4,1.0,1,1.0,P0041
c2_consistent_pseudonym,P0042,T1,0,0,0,0,0,0.0,36,0.027777777777777776,P0020
c2_consistent_pseudonym,P0043,T2,0,0,0,0,0,0.0,40,0.025,P0074
c2_consistent_pseudonym,P0044,T3,1,1,1,1,3,0.75,1,1.0,P0044
