requested_candidate_set_size,candidate_set_size,condition,persona_id,risk_tier,rank,top1,top3,score_true,top_candidate
10,10,c1_direct_redaction,P0042,T1,4,0,0,0.007142539628194229,P0004
10,10,c1_direct_redaction,P0043,T2,1,1,1,0.03857028477374344,P0043
10,10,c1_direct_redaction,P0044,T3,1,1,1,0.22315936574129477,P0044
10,10,c1_direct_redaction,P0046,T2,1,1,1,0.03603193411767744,P0046
10,10,c1_direct_redaction,P0047,T3,1,1,1,0.17459905927731012,P0047
10,10,c1_direct_redaction,P0048,T1,6,0,0,0.009293320235307996,P0056
10,10,c1_direct_redaction,P0049,T2,1,1,1,0.0563042899911446,P0049
10,10,c1_direct_redaction,P0051,T1,3,0,1,0.009361727158548903,P0075
10,10,c1_direct_redaction,P0052,T2,1,1,1,0.04862050755474954,P0052
10,10,c1_direct_redaction,P0053,T3,1,1,1,0.17010404383075234,P0053
10,10,c1_direct_redaction,P0054,T1,4,0,0,0.00947420123225186,P0037
10,10,c1_direct_redaction,P0056,T3,1,1,1,0.22492168300292145,P0056
10,10,c1_direct_redaction,P0057,T1,3,0,1,0.011028069367308746,P0018
10,10,c1_direct_redaction,P0058,T2,1,1,1,0.032843355862878294,P0058
10,10,c1_direct_redaction,P0059,T3,1,1,1,0.1742023927690851,P0059
10,10,c1_direct_redaction,P0061,T2,1,1,1,0.04820967395228193,P0061
10,10,c1_direct_redaction,P0062,T3,1,1,1,0.20416661542928394,P0062
10,10,c1_direct_redaction,P0063,T1,3,0,1,0.007299437234788883,P0056
10,10,c1_direct_redaction,P0064,T2,1,1,1,0.04864374247930895,P0064
10,10,c1_direct_redaction,P0066,T1,3,0,1,0.009235018213597287,P0028
10,10,c1_direct_redaction,P0067,T2,1,1,1,0.03928543989293821,P0067
10,10,c1_direct_redaction,P0068,T3,1,1,1,0.2073738130947672,P0068
10,10,c1_direct_redaction,P0069,T1,6,0,0,0.006468949932417978,P0101
10,10,c1_direct_redaction,P0071,T3,1,1,1,0.18027491653095926,P0071
10,10,c1_direct_redaction,P0072,T1,4,0,0,0.014536972343794334,P0034
10,10,c1_direct_redaction,P0073,T2,1,1,1,0.05379535734249523,P0073
10,10,c1_direct_redaction,P0074,T3,1,1,1,0.23210353280662616,P0074
10,10,c1_direct_redaction,P0076,T2,1,1,1,0.035879452227092816,P0076
10,10,c1_direct_redaction,P0077,T3,1,1,1,0.20655147113019756,P0077
10,10,c1_direct_redaction,P0078,T1,6,0,0,0.006873667393898217,P0117
10,10,c1_direct_redaction,P0079,T2,1,1,1,0.03281909625946003,P0079
10,10,c1_direct_redaction,P0081,T1,1,1,1,0.016914750530342235,P0081
10,10,c1_direct_redaction,P0082,T2,1,1,1,0.04615702223949791,P0082
10,10,c1_direct_redaction,P0083,T3,1,1,1,0.1978224762331277,P0083
10,10,c1_direct_redaction,P0084,T1,3,0,1,0.016389670951287006,P0080
10,10,c1_direct_redaction,P0086,T3,1,1,1,0.24053615314596397,P0086
10,10,c1_direct_redaction,P0087,T1,1,1,1,0.020810950441778442,P0087
10,10,c1_direct_redaction,P0088,T2,1,1,1,0.053026045844484115,P0088
10,10,c1_direct_redaction,P0089,T3,1,1,1,0.16488582914916292,P0089
10,10,c1_direct_redaction,P0091,T2,1,1,1,0.03722125298493534,P0091
10,10,c1_direct_redaction,P0092,T3,1,1,1,0.1653617674063523,P0092
10,10,c1_direct_redaction,P0093,T1,4,0,0,0.01809927688662401,P0101
10,10,c1_direct_redaction,P0094,T2,1,1,1,0.04036825492758881,P0094
10,10,c1_direct_redaction,P0096,T1,2,0,1,0.014705111051024301,P0022
10,10,c1_direct_redaction,P0097,T2,1,1,1,0.04997274980167808,P0097
10,10,c1_direct_redaction,P0098,T3,1,1,1,0.21362090992230623,P0098
10,10,c1_direct_redaction,P0099,T1,2,0,1,0.013269103102710858,P0014
10,10,c1_direct_redaction,P0101,T3,1,1,1,0.21207379622905131,P0101
10,10,c1_direct_redaction,P0102,T1,6,0,0,0.006264595909602864,P0004
10,10,c1_direct_redaction,P0103,T2,1,1,1,0.05162074319452881,P0103
10,10,c1_direct_redaction,P0104,T3,1,1,1,0.22539415357767797,P0104
10,10,c1_direct_redaction,P0106,T2,1,1,1,0.04585691818905305,P0106
10,10,c1_direct_redaction,P0107,T3,1,1,1,0.20146144690678172,P0107
10,10,c1_direct_redaction,P0108,T1,5,0,0,0.009497369290543166,P0101
10,10,c1_direct_redaction,P0109,T2,1,1,1,0.045903675707332885,P0109
10,10,c1_direct_redaction,P0111,T1,6,0,0,0.00849320191619941,P0116
10,10,c1_direct_redaction,P0112,T2,1,1,1,0.044800647477198564,P0112
10,10,c1_direct_redaction,P0113,T3,1,1,1,0.196206090732238,P0113
10,10,c1_direct_redaction,P0114,T1,7,0,0,0.0033047126602908064,P0009
10,10,c1_direct_redaction,P0116,T3,1,1,1,0.19509069734812556,P0116
10,10,c1_direct_redaction,P0117,T1,1,1,1,0.022257706656998822,P0117
10,10,c1_direct_redaction,P0118,T2,1,1,1,0.044138679279898264,P0118
10,10,c1_direct_redaction,P0119,T3,1,1,1,0.19154343740094987,P0119
10,10,c1b_presidio_redaction,P0001,T2,2,0,1,0.03176282664263027,P0046
10,10,c1b_presidio_redaction,P0002,T3,1,1,1,0.16658177330149287,P0002
10,10,c1b_presidio_redaction,P0003,T1,5,0,0,0.006732464368103861,P0117
10,10,c1b_presidio_redaction,P0004,T2,1,1,1,0.033675677010233065,P0004
10,10,c1b_presidio_redaction,P0006,T1,4,0,0,0.009100129156052152,P0026
10,10,c1b_presidio_redaction,P0007,T2,1,1,1,0.040033324895482565,P0007
10,10,c1b_presidio_redaction,P0008,T3,1,1,1,0.20563743822070102,P0008
10,10,c1b_presidio_redaction,P0009,T1,2,0,1,0.014392979802691452,P0097
10,10,c1b_presidio_redaction,P0011,T3,1,1,1,0.17742096864095494,P0011
10,10,c1b_presidio_redaction,P0012,T1,1,1,1,0.02167949444726695,P0012
10,10,c1b_presidio_redaction,P0013,T2,1,1,1,0.031573182831837646,P0013
10,10,c1b_presidio_redaction,P0014,T3,1,1,1,0.18221514062019203,P0014
10,10,c1b_presidio_redaction,P0016,T2,2,0,1,0.04426211199097417,P0072
10,10,c1b_presidio_redaction,P0017,T3,1,1,1,0.23796105667216377,P0017
10,10,c1b_presidio_redaction,P0018,T1,2,0,1,0.009800652827357167,P0057
10,10,c1b_presidio_redaction,P0019,T2,1,1,1,0.036496045984711484,P0019
10,10,c1b_presidio_redaction,P0021,T1,5,0,0,0.0059712632765717075,P0028
10,10,c1b_presidio_redaction,P0022,T2,1,1,1,0.05956646817912863,P0022
10,10,c1b_presidio_redaction,P0023,T3,1,1,1,0.18025384610575063,P0023
10,10,c1b_presidio_redaction,P0024,T1,6,0,0,0.005664387314837072,P0085
10,10,c1b_presidio_redaction,P0026,T3,1,1,1,0.1721394117462062,P0026
10,10,c1b_presidio_redaction,P0027,T1,9,0,0,0.0035491817779000866,P0057
10,10,c1b_presidio_redaction,P0028,T2,2,0,1,0.02344524304064515,P0018
10,10,c1b_presidio_redaction,P0029,T3,1,1,1,0.1907146476814856,P0029
10,10,c1b_presidio_redaction,P0031,T2,1,1,1,0.036826678662195717,P0031
10,10,c1b_presidio_redaction,P0032,T3,1,1,1,0.20296776211660184,P0032
10,10,c1b_presidio_redaction,P0033,T1,4,0,0,0.0072267857967773415,P0018
10,10,c1b_presidio_redaction,P0034,T2,1,1,1,0.035252807637366095,P0034
10,10,c1b_presidio_redaction,P0036,T1,8,0,0,0.0021323182857666896,P0085
10,10,c1b_presidio_redaction,P0037,T2,1,1,1,0.06108079833549598,P0037
10,10,c1b_presidio_redaction,P0038,T3,1,1,1,0.1774907455499432,P0038
10,10,c1b_presidio_redaction,P0039,T1,2,0,1,0.007362906747761289,P0007
10,10,c1b_presidio_redaction,P0041,T3,1,1,1,0.16335885836110486,P0041
10,10,c1b_presidio_redaction,P0042,T1,5,0,0,0.005567213779041454,P0004
10,10,c1b_presidio_redaction,P0043,T2,1,1,1,0.0344468148991054,P0043
10,10,c1b_presidio_redaction,P0044,T3,1,1,1,0.21373314394575058,P0044
10,10,c1b_presidio_redaction,P0046,T2,1,1,1,0.033771142944060646,P0046
10,10,c1b_presidio_redaction,P0047,T3,1,1,1,0.16325919044575626,P0047
10,10,c1b_presidio_redaction,P0048,T1,6,0,0,0.005151648783601865,P0056
10,10,c1b_presidio_redaction,P0049,T2,2,0,1,0.046539179638058946,P0080
10,10,c1b_presidio_redaction,P0051,T1,3,0,1,0.009473685135271158,P0075
10,10,c1b_presidio_redaction,P0052,T2,2,0,1,0.029805799743875337,P0030
10,10,c1b_presidio_redaction,P0053,T3,1,1,1,0.14269583631290467,P0053
10,10,c1b_presidio_redaction,P0054,T1,5,0,0,0.007839666875546953,P0037
10,10,c1b_presidio_redaction,P0056,T3,1,1,1,0.2085692510813271,P0056
10,10,c1b_presidio_redaction,P0057,T1,3,0,1,0.009226997954786974,P0028
10,10,c1b_presidio_redaction,P0058,T2,2,0,1,0.02307908591377757,P0118
10,10,c1b_presidio_redaction,P0059,T3,1,1,1,0.15159183863214196,P0059
10,10,c1b_presidio_redaction,P0061,T2,1,1,1,0.040382974532582674,P0061
10,10,c1b_presidio_redaction,P0062,T3,1,1,1,0.1772088413012038,P0062
10,10,c1b_presidio_redaction,P0063,T1,3,0,1,0.007254196781225814,P0056
10,10,c1b_presidio_redaction,P0064,T2,2,0,1,0.02345700220925629,P0061
10,10,c1b_presidio_redaction,P0066,T1,6,0,0,0.0055537112499476,P0028
10,10,c1b_presidio_redaction,P0067,T2,3,0,1,0.023133922328598126,P0064
10,10,c1b_presidio_redaction,P0068,T3,1,1,1,0.18713270134885795,P0068
10,10,c1b_presidio_redaction,P0069,T1,8,0,0,0.0014146701275731019,P0101
10,10,c1b_presidio_redaction,P0071,T3,1,1,1,0.17601843266614203,P0071
10,10,c1b_presidio_redaction,P0072,T1,6,0,0,0.007564952690892465,P0040
10,10,c1b_presidio_redaction,P0073,T2,1,1,1,0.041435945033328245,P0073
10,10,c1b_presidio_redaction,P0074,T3,1,1,1,0.22603515423680443,P0074
10,10,c1b_presidio_redaction,P0076,T2,1,1,1,0.026414199451737144,P0076
10,10,c1b_presidio_redaction,P0077,T3,1,1,1,0.18067251527778785,P0077
10,10,c1b_presidio_redaction,P0078,T1,6,0,0,0.006845719059073446,P0117
10,10,c1b_presidio_redaction,P0079,T2,1,1,1,0.025704039413333803,P0079
10,10,c1b_presidio_redaction,P0081,T1,1,1,1,0.012338333563062947,P0081
10,10,c1b_presidio_redaction,P0082,T2,1,1,1,0.03923040826900042,P0082
10,10,c1b_presidio_redaction,P0083,T3,1,1,1,0.19387325134515607,P0083
10,10,c1b_presidio_redaction,P0084,T1,3,0,1,0.014855472765082986,P0080
10,10,c1b_presidio_redaction,P0086,T3,1,1,1,0.2348424433161244,P0086
10,10,c1b_presidio_redaction,P0087,T1,3,0,1,0.013601490202252677,P0026
10,10,c1b_presidio_redaction,P0088,T2,1,1,1,0.05066629589543206,P0088
10,10,c1b_presidio_redaction,P0089,T3,1,1,1,0.15697822372907413,P0089
10,10,c1b_presidio_redaction,P0091,T2,2,0,1,0.0309024842150503,P0101
10,10,c1b_presidio_redaction,P0092,T3,1,1,1,0.15158980222832666,P0092
10,10,c1b_presidio_redaction,P0093,T1,5,0,0,0.010883728306937169,P0101
10,10,c1b_presidio_redaction,P0094,T2,2,0,1,0.02232339040238193,P0098
10,10,c1b_presidio_redaction,P0096,T1,3,0,1,0.012254441593073501,P0022
10,10,c1b_presidio_redaction,P0097,T2,1,1,1,0.04106825862251257,P0097
10,10,c1b_presidio_redaction,P0098,T3,1,1,1,0.21266204289164542,P0098
10,10,c1b_presidio_redaction,P0099,T1,2,0,1,0.013233460909366477,P0014
10,10,c1b_presidio_redaction,P0101,T3,1,1,1,0.18919639221153559,P0101
10,10,c1b_presidio_redaction,P0102,T1,7,0,0,0.0045708574460366184,P0004
10,10,c1b_presidio_redaction,P0103,T2,1,1,1,0.04322614495905788,P0103
10,10,c1b_presidio_redaction,P0104,T3,1,1,1,0.22438888210691768,P0104
10,10,c1b_presidio_redaction,P0106,T2,1,1,1,0.03768002526045607,P0106
10,10,c1b_presidio_redaction,P0107,T3,1,1,1,0.18604107975700904,P0107
10,10,c1b_presidio_redaction,P0108,T1,5,0,0,0.007512020362931667,P0101
10,10,c1b_presidio_redaction,P0109,T2,1,1,1,0.03050651988046042,P0109
10,10,c1b_presidio_redaction,P0111,T1,7,0,0,0.003652357061013297,P0116
10,10,c1b_presidio_redaction,P0112,T2,1,1,1,0.034526650964143674,P0112
10,10,c1b_presidio_redaction,P0113,T3,1,1,1,0.18535075152364838,P0113
10,10,c1b_presidio_redaction,P0114,T1,7,0,0,0.003291087144856406,P0009
10,10,c1b_presidio_redaction,P0116,T3,1,1,1,0.19421494591497546,P0116
10,10,c1b_presidio_redaction,P0117,T1,1,1,1,0.022166520623230646,P0117
10,10,c1b_presidio_redaction,P0118,T2,1,1,1,0.030594127683307652,P0118
10,10,c1b_presidio_redaction,P0119,T3,1,1,1,0.17294336307119962,P0119
10,10,c2_consistent_pseudonym,P0001,T2,7,0,0,0.007308401519237253,P0010
10,10,c2_consistent_pseudonym,P0002,T3,1,1,1,0.16467909274990852,P0002
10,10,c2_consistent_pseudonym,P0003,T1,5,0,0,0.006732464368103861,P0117
10,10,c2_consistent_pseudonym,P0004,T2,2,0,1,0.011524196546604918,P0044
10,10,c2_consistent_pseudonym,P0006,T1,3,0,1,0.010517291980100044,P0026
10,10,c2_consistent_pseudonym,P0007,T2,5,0,0,0.012654884913009878,P0032
10,10,c2_consistent_pseudonym,P0008,T3,1,1,1,0.17257298602273813,P0008
10,10,c2_consistent_pseudonym,P0009,T1,2,0,1,0.01434177375116985,P0097
10,10,c2_consistent_pseudonym,P0011,T3,1,1,1,0.1575336913382235,P0011
10,10,c2_consistent_pseudonym,P0012,T1,1,1,1,0.02167949444726695,P0012
10,10,c2_consistent_pseudonym,P0013,T2,3,0,1,0.014599171726344742,P0103
10,10,c2_consistent_pseudonym,P0014,T3,1,1,1,0.18697498958662492,P0014
10,10,c2_consistent_pseudonym,P0016,T2,4,0,0,0.012556126477917748,P0061
10,10,c2_consistent_pseudonym,P0017,T3,1,1,1,0.19892058215795297,P0017
10,10,c2_consistent_pseudonym,P0018,T1,2,0,1,0.01180832572586,P0057
10,10,c2_consistent_pseudonym,P0019,T2,2,0,1,0.02176505782392854,P0109
10,10,c2_consistent_pseudonym,P0021,T1,5,0,0,0.0059712632765717075,P0028
10,10,c2_consistent_pseudonym,P0022,T2,4,0,0,0.010737027837647902,P0002
10,10,c2_consistent_pseudonym,P0023,T3,1,1,1,0.15515771635544184,P0023
10,10,c2_consistent_pseudonym,P0024,T1,4,0,0,0.010901346127962515,P0085
10,10,c2_consistent_pseudonym,P0026,T3,1,1,1,0.14780467341770767,P0026
10,10,c2_consistent_pseudonym,P0027,T1,9,0,0,0.0035485841484506134,P0057
10,10,c2_consistent_pseudonym,P0028,T2,3,0,1,0.012507155016074408,P0009
10,10,c2_consistent_pseudonym,P0029,T3,1,1,1,0.1891509947004395,P0029
10,10,c2_consistent_pseudonym,P0031,T2,9,0,0,0.002335432827320301,P0022
10,10,c2_consistent_pseudonym,P0032,T3,1,1,1,0.1847287310412693,P0032
10,10,c2_consistent_pseudonym,P0033,T1,3,0,1,0.008810661996693177,P0018
10,10,c2_consistent_pseudonym,P0034,T2,3,0,1,0.019339081483258774,P0072
10,10,c2_consistent_pseudonym,P0036,T1,3,0,1,0.012596659504534273,P0085
10,10,c2_consistent_pseudonym,P0037,T2,1,1,1,0.02284993059448112,P0037
10,10,c2_consistent_pseudonym,P0038,T3,1,1,1,0.15785102057809755,P0038
10,10,c2_consistent_pseudonym,P0039,T1,1,1,1,0.017998530305372126,P0039
10,10,c2_consistent_pseudonym,P0041,T3,1,1,1,0.14390082647542127,P0041
10,10,c2_consistent_pseudonym,P0042,T1,4,0,0,0.007113341318252208,P0004
10,10,c2_consistent_pseudonym,P0043,T2,4,0,0,0.014294399570431753,P0050
10,10,c2_consistent_pseudonym,P0044,T3,1,1,1,0.1876766459011019,P0044
10,10,c2_consistent_pseudonym,P0046,T2,9,0,0,0.01120603995265402,P0106
10,10,c2_consistent_pseudonym,P0047,T3,1,1,1,0.14428415387819474,P0047
10,10,c2_consistent_pseudonym,P0048,T1,6,0,0,0.009255630715500745,P0056
10,10,c2_consistent_pseudonym,P0049,T2,3,0,1,0.011569943792670505,P0080
10,10,c2_consistent_pseudonym,P0051,T1,3,0,1,0.009323396148690741,P0075
10,10,c2_consistent_pseudonym,P0052,T2,2,0,1,0.019207722157981433,P0038
10,10,c2_consistent_pseudonym,P0053,T3,1,1,1,0.13216623442535602,P0053
10,10,c2_consistent_pseudonym,P0054,T1,4,0,0,0.009435344426444477,P0037
10,10,c2_consistent_pseudonym,P0056,T3,1,1,1,0.18893083701226912,P0056
10,10,c2_consistent_pseudonym,P0057,T1,3,0,1,0.010982749587287056,P0018
10,10,c2_consistent_pseudonym,P0058,T2,6,0,0,0.012153735520444364,P0073
10,10,c2_consistent_pseudonym,P0059,T3,1,1,1,0.14372345740230294,P0059
10,10,c2_consistent_pseudonym,P0061,T2,1,1,1,0.024748028348172933,P0061
10,10,c2_consistent_pseudonym,P0062,T3,1,1,1,0.17803338192471804,P0062
10,10,c2_consistent_pseudonym,P0063,T1,3,0,1,0.00726939744497309,P0056
10,10,c2_consistent_pseudonym,P0064,T2,4,0,0,0.016944647832008775,P0061
10,10,c2_consistent_pseudonym,P0066,T1,3,0,1,0.009196960183289936,P0028
10,10,c2_consistent_pseudonym,P0067,T2,5,0,0,0.01058369087352224,P0044
10,10,c2_consistent_pseudonym,P0068,T3,1,1,1,0.18378718789963014,P0068
10,10,c2_consistent_pseudonym,P0069,T1,6,0,0,0.006443011663690216,P0101
10,10,c2_consistent_pseudonym,P0071,T3,1,1,1,0.13549153199368474,P0071
10,10,c2_consistent_pseudonym,P0072,T1,4,0,0,0.014478664638635673,P0034
10,10,c2_consistent_pseudonym,P0073,T2,1,1,1,0.019408272667570364,P0073
10,10,c2_consistent_pseudonym,P0074,T3,1,1,1,0.19498526612879516,P0074
10,10,c2_consistent_pseudonym,P0076,T2,5,0,0,0.011539828866643833,P0026
10,10,c2_consistent_pseudonym,P0077,T3,1,1,1,0.16836092878727862,P0077
10,10,c2_consistent_pseudonym,P0078,T1,6,0,0,0.006845719059073446,P0117
10,10,c2_consistent_pseudonym,P0079,T2,5,0,0,0.01345931583114844,P0050
10,10,c2_consistent_pseudonym,P0081,T1,1,1,1,0.0168462851786586,P0081
10,10,c2_consistent_pseudonym,P0082,T2,4,0,0,0.011952315712748934,P0014
10,10,c2_consistent_pseudonym,P0083,T3,1,1,1,0.16213974877937132,P0083
10,10,c2_consistent_pseudonym,P0084,T1,3,0,1,0.01632156262487163,P0080
10,10,c2_consistent_pseudonym,P0086,T3,1,1,1,0.18903697430198813,P0086
10,10,c2_consistent_pseudonym,P0087,T1,1,1,1,0.02072599496308176,P0087
10,10,c2_consistent_pseudonym,P0088,T2,7,0,0,0.009037590636853547,P0044
10,10,c2_consistent_pseudonym,P0089,T3,1,1,1,0.11898257459712168,P0089
10,10,c2_consistent_pseudonym,P0091,T2,5,0,0,0.015338985005816302,P0072
10,10,c2_consistent_pseudonym,P0092,T3,1,1,1,0.1263765922032121,P0092
10,10,c2_consistent_pseudonym,P0093,T1,4,0,0,0.01802558084043688,P0101
10,10,c2_consistent_pseudonym,P0094,T2,4,0,0,0.015910871950499693,P0081
10,10,c2_consistent_pseudonym,P0096,T1,2,0,1,0.014645912909673115,P0022
10,10,c2_consistent_pseudonym,P0097,T2,2,0,1,0.01779618554998038,P0050
10,10,c2_consistent_pseudonym,P0098,T3,1,1,1,0.18235316099779336,P0098
10,10,c2_consistent_pseudonym,P0099,T1,2,0,1,0.013215747182190665,P0014
10,10,c2_consistent_pseudonym,P0101,T3,1,1,1,0.18318144095502492,P0101
10,10,c2_consistent_pseudonym,P0102,T1,6,0,0,0.006238964055484011,P0004
10,10,c2_consistent_pseudonym,P0103,T2,2,0,1,0.017149857637881013,P0097
10,10,c2_consistent_pseudonym,P0104,T3,1,1,1,0.18386035759426475,P0104
10,10,c2_consistent_pseudonym,P0106,T2,1,1,1,0.018569123544228423,P0106
10,10,c2_consistent_pseudonym,P0107,T3,1,1,1,0.1557575404948878,P0107
10,10,c2_consistent_pseudonym,P0108,T1,5,0,0,0.009458496777959204,P0101
10,10,c2_consistent_pseudonym,P0109,T2,3,0,1,0.020082036932163747,P0056
10,10,c2_consistent_pseudonym,P0111,T1,6,0,0,0.0084586832584178,P0116
10,10,c2_consistent_pseudonym,P0112,T2,3,0,1,0.013337754657135669,P0071
10,10,c2_consistent_pseudonym,P0113,T3,1,1,1,0.13886019117186096,P0113
10,10,c2_consistent_pseudonym,P0114,T1,7,0,0,0.003291087144856406,P0009
10,10,c2_consistent_pseudonym,P0116,T3,1,1,1,0.15861925390178508,P0116
10,10,c2_consistent_pseudonym,P0117,T1,1,1,1,0.0163040411935793,P0117
10,10,c2_consistent_pseudonym,P0118,T2,3,0,1,0.018438216703902187,P0072
10,10,c2_consistent_pseudonym,P0119,T3,1,1,1,0.16758208737189267,P0119
10,10,c3_per_doc_pseudonym,P0001,T2,7,0,0,0.007531782971939975,P0010
10,10,c3_per_doc_pseudonym,P0002,T3,1,1,1,0.17040402700004093,P0002
10,10,c3_per_doc_pseudonym,P0003,T1,5,0,0,0.006946711244685161,P0117
10,10,c3_per_doc_pseudonym,P0004,T2,2,0,1,0.011888253274800885,P0044
10,10,c3_per_doc_pseudonym,P0006,T1,3,0,1,0.010851722584292017,P0026
10,10,c3_per_doc_pseudonym,P0007,T2,5,0,0,0.013045459955033239,P0032
10,10,c3_per_doc_pseudonym,P0008,T3,1,1,1,0.17853907428468327,P0008
10,10,c3_per_doc_pseudonym,P0009,T1,2,0,1,0.01480243107863564,P0097
10,10,c3_per_doc_pseudonym,P0011,T3,1,1,1,0.16307961089483122,P0011
10,10,c3_per_doc_pseudonym,P0012,T1,1,1,1,0.022377623178321746,P0012
10,10,c3_per_doc_pseudonym,P0013,T2,3,0,1,0.015058587943986566,P0103
10,10,c3_per_doc_pseudonym,P0014,T3,1,1,1,0.19339651347221584,P0014
10,10,c3_per_doc_pseudonym,P0016,T2,4,0,0,0.012942788514311515,P0061
10,10,c3_per_doc_pseudonym,P0017,T3,1,1,1,0.2055735405984618,P0017
10,10,c3_per_doc_pseudonym,P0018,T1,2,0,1,0.012185077216749898,P0057
10,10,c3_per_doc_pseudonym,P0019,T2,2,0,1,0.022437269058855163,P0109
10,10,c3_per_doc_pseudonym,P0021,T1,5,0,0,0.0061612540559025306,P0028
10,10,c3_per_doc_pseudonym,P0022,T2,4,0,0,0.01107337300467539,P0002
10,10,c3_per_doc_pseudonym,P0023,T3,1,1,1,0.16058203326567105,P0023
10,10,c3_per_doc_pseudonym,P0024,T1,4,0,0,0.011249939156504851,P0085
10,10,c3_per_doc_pseudonym,P0026,T3,1,1,1,0.15298268028888168,P0026
10,10,c3_per_doc_pseudonym,P0027,T1,9,0,0,0.0036628108867867,P0057
10,10,c3_per_doc_pseudonym,P0028,T2,3,0,1,0.012899719227998888,P0009
10,10,c3_per_doc_pseudonym,P0029,T3,1,1,1,0.19561975744341728,P0029
10,10,c3_per_doc_pseudonym,P0031,T2,9,0,0,0.0024084792650690924,P0022
10,10,c3_per_doc_pseudonym,P0032,T3,1,1,1,0.1910749610149702,P0032
10,10,c3_per_doc_pseudonym,P0033,T1,3,0,1,0.009089290433620991,P0018
10,10,c3_per_doc_pseudonym,P0034,T2,3,0,1,0.0199406401284902,P0072
10,10,c3_per_doc_pseudonym,P0036,T1,3,0,1,0.012996603942589707,P0085
10,10,c3_per_doc_pseudonym,P0037,T2,1,1,1,0.023551769162603,P0037
10,10,c3_per_doc_pseudonym,P0038,T3,1,1,1,0.16333232195439848,P0038
10,10,c3_per_doc_pseudonym,P0039,T1,1,1,1,0.01855936067181784,P0039
10,10,c3_per_doc_pseudonym,P0041,T3,1,1,1,0.14898216259846328,P0041
10,10,c3_per_doc_pseudonym,P0042,T1,4,0,0,0.007339963367212278,P0004
10,10,c3_per_doc_pseudonym,P0043,T2,4,0,0,0.01473433266257294,P0050
10,10,c3_per_doc_pseudonym,P0044,T3,1,1,1,0.19408435574702787,P0044
10,10,c3_per_doc_pseudonym,P0046,T2,9,0,0,0.011558958931809643,P0106
10,10,c3_per_doc_pseudonym,P0047,T3,1,1,1,0.14939386820776582,P0047
10,10,c3_per_doc_pseudonym,P0048,T1,6,0,0,0.00954805968098336,P0056
10,10,c3_per_doc_pseudonym,P0049,T2,3,0,1,0.011933514710832361,P0080
10,10,c3_per_doc_pseudonym,P0051,T1,3,0,1,0.009620921317870712,P0075
10,10,c3_per_doc_pseudonym,P0052,T2,2,0,1,0.019810410030572878,P0038
