seed,condition,threshold,val_pair_f1,edit_ratio,pair_precision,pair_recall,pair_f1,cluster_ari,cluster_nmi,bcubed_precision,bcubed_recall,bcubed_f1,num_pred_clusters,fixedk_ari,fixedk_nmi,fixedk_bcubed_f1,aux_top1,aux_top3,aux_mrr,attr_exact_recovery,attr_coarse_recovery,domain_acc,issue_acc,fact_preservation,retrieval_recall_at_5,retrieval_mrr
20260628,c1b_presidio_redaction,0.2789988907168818,0.38,0.3542291350764816,0.0919689119170984,0.3697916666666667,0.1473029045643153,-9.4330056542301e-05,0.134194247112343,0.0827188670411985,0.890625,0.1513781376822486,29.0,0.0804843059054361,0.7142060461916293,0.3307776948693384,0.6145833333333334,0.8541666666666666,0.7460193452380953,0.3285984848484848,0.6960227272727273,1.0,0.9979166666666668,0.6833333333333333,1.0,1.0
20260628,c2_consistent_pseudonym,0.5200419679010155,0.9750889679715302,0.289020903751788,1.0,0.96875,0.984126984126984,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.46875,0.7083333333333334,0.6295924272486773,0.271780303030303,0.6912878787878788,1.0,0.9979166666666668,0.679861111111111,1.0,1.0
20260628,c3_per_doc_pseudonym,0.0764379903552938,0.3697478991596639,0.3016860465222067,0.081081081081081,0.4583333333333333,0.1377870563674321,-4.603008786199566e-05,0.0587587800394515,0.0204491120218579,0.9296875,0.0400180007638389,5.0,0.0917100107691955,0.7314149959740569,0.3409417945236204,0.46875,0.7083333333333334,0.6295924272486773,0.271780303030303,0.6912878787878788,1.0,0.9979166666666668,0.679861111111111,1.0,1.0
20260628,c4_doc_local_anon,0.3180604067157142,0.378698224852071,0.2782980905209224,0.0891540891540891,0.4409722222222222,0.1483211678832116,0.0,0.0,0.0104166666666666,1.0,0.0206185567010309,1.0,0.110420590081607,0.7411340153421465,0.3620485448163072,0.65625,0.875,0.7810309193121694,0.3058712121212121,0.7859848484848485,1.0,0.9979166666666668,0.6833333333333333,1.0,1.0
20260628,c5_linkguard,0.4182969023451443,0.0775280898876404,0.5422721535056977,0.0098784473577907,0.4670138888888889,0.0193476462761175,0.0037866962455406,0.1629047087649391,0.0300211217978502,0.6783854166666666,0.0574977505537394,8.0,-0.0101916725623612,0.6571486868025544,0.25,0.0520833333333333,0.2708333333333333,0.2689484126984127,0.0,0.1136363636363636,1.0,0.9979166666666668,0.6958333333333333,1.0,1.0
20260628,c6_aggressive_redaction,0.902768271590306,0.0684253915910964,0.6792820468473854,0.0083843667043393,0.5538194444444444,0.0165186546876213,0.0,0.0,0.0104166666666666,1.0,0.0206185567010309,1.0,-0.0122902074798467,0.590639219888735,0.25,0.0729166666666666,0.2708333333333333,0.2775214947089947,0.0,0.0,1.0,0.3458333333333333,0.3881944444444444,0.2395833333333333,0.146157084909334
20260629,original,0.4682186335972271,0.9750889679715302,0.0,1.0,0.9722222222222222,0.9859154929577464,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.7604166666666666,0.8854166666666666,0.8376984126984125,0.3939393939393939,0.7878787878787878,1.0,1.0,0.6826388888888888,1.0,1.0
20260629,c1_direct_redaction,0.4044849397014091,0.411522633744856,0.2454549877447558,0.1649746192893401,0.3385416666666667,0.2218430034129692,0.0099816986712202,0.2986184936794923,0.0534401260504201,0.7369791666666666,0.0996540947977518,13.0,0.1205017819793378,0.7469422954865661,0.3748124495630823,0.7604166666666666,0.8854166666666666,0.838219246031746,0.3920454545454545,0.7859848484848485,1.0,1.0,0.6826388888888888,1.0,1.0
20260629,c1b_presidio_redaction,0.2692641843710509,0.3510971786833856,0.3554592352441246,0.089652448657188,0.3940972222222222,0.146074646074646,-7.36286510351677e-05,0.1212067297439643,0.0749767873723305,0.90234375,0.1384496342671797,26.0,0.0790376128864782,0.7162131252279942,0.3275477262030827,0.6770833333333334,0.8541666666666666,0.7874751984126984,0.3314393939393939,0.7026515151515151,1.0,1.0,0.6826388888888888,1.0,1.0
20260629,c2_consistent_pseudonym,0.5200833549242111,0.9750889679715302,0.2906949493644195,1.0,0.9722222222222222,0.9859154929577464,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,0.5520833333333334,0.7916666666666666,0.6899222883597883,0.2708333333333333,0.6950757575757576,1.0,1.0,0.6819444444444444,1.0,1.0
20260629,c3_per_doc_pseudonym,0.0998891161527985,0.3772241992882562,0.3035196613673837,0.1082635983263598,0.359375,0.1663987138263665,0.0002967666604125,0.1594968977624238,0.0381631631631631,0.8255208333333334,0.0729537339695704,12.0,0.0864720541117835,0.7307682498836322,0.3299494124610865,0.5520833333333334,0.7916666666666666,0.6899222883597883,0.2708333333333333,0.6950757575757576,1.0,1.0,0.6819444444444444,1.0,1.0
20260629,c4_doc_local_anon,0.3690125242673706,0.3843416370106761,0.2799626980556476,0.1019626615605552,0.3697916666666667,0.1598499061913696,-0.0002706454073603,0.0505058150309106,0.017470238095238,0.8671875,0.0342504709919426,4.0,0.1033528483569221,0.7348121885989239,0.3535479634022481,0.7291666666666666,0.8854166666666666,0.822594246031746,0.3020833333333333,0.7859848484848485,1.0,1.0,0.6826388888888888,1.0,1.0
20260629,c5_linkguard,0.58858705422232,0.0914285714285714,0.5352102021850769,0.0109030159148861,0.4305555555555556,0.0212674727724894,0.0052723698188639,0.3041407933708953,0.0485482564786585,0.5729166666666666,0.0895114245015155,14.0,-0.0103886618773886,0.653749793962094,0.25,0.0416666666666666,0.2291666666666666,0.2555638227513228,0.0009469696969696,0.1164772727272727,1.0,1.0,0.6923611111111112,1.0,1.0
20260629,c6_aggressive_redaction,0.9028050387891932,0.0623973727422003,0.6856222660528505,0.0082501085540599,0.5277777777777778,0.016246259085079,0.0,0.0,0.0104166666666666,1.0,0.0206185567010309,1.0,-0.0125809098368128,0.5833646134926347,0.25,0.0416666666666666,0.3020833333333333,0.270291832010582,0.0,0.0,1.0,0.31875,0.3881944444444444,0.33125,0.204436124795187
